target_short,target,candidate,basis_set,loss_name,seed,basis_size,selected,train_centered_log_ma_rmse,validation_centered_log_ma_rmse,test_centered_log_ma_rmse,train_sigma_l1_volume_ratio,validation_sigma_l1_volume_ratio,test_sigma_l1_volume_ratio,train_positivity_violation_rate,validation_positivity_violation_rate,test_positivity_violation_rate,test_min_eigenvalue_min,optimizer_success,optimizer_iterations,train_centered_log_ma_mse,train_volume_ratio_mse,train_sigma_l1_smooth,train_positivity_penalty,checkpoint
k3,fermat_quartic_k3,k3_compact_log_ma_seed20260707,compact,log_ma,20260707,6,False,0.04518250617812967,0.05273598746575838,0.048682435064923146,0.03665020526380464,0.0409903291574653,0.04332922085857154,0.0,0.0,0.0,0.1385994784056567,False,30,0.0020414588645367255,0.002116858071930261,0.03665045008829969,0.0,
k3,fermat_quartic_k3,k3_compact_log_ma_seed20260708,compact,log_ma,20260708,6,False,0.04518250617812967,0.05273598746575838,0.048682435064923146,0.03665020526380464,0.0409903291574653,0.04332922085857154,0.0,0.0,0.0,0.1385994784056567,False,30,0.0020414588645367255,0.002116858071930261,0.03665045008829969,0.0,
k3,fermat_quartic_k3,k3_compact_hybrid_sigma_seed20260707,compact,hybrid_sigma,20260707,6,False,0.0469032472696799,0.05905070517307382,0.05204834423502794,0.03236302795878041,0.04615044779981362,0.04685951022505761,0.0,0.0,0.0,0.13782110961383412,False,30,0.0021999146044407347,0.0022849731658678638,0.032370436291282306,0.0,
k3,fermat_quartic_k3,k3_compact_hybrid_sigma_seed20260708,compact,hybrid_sigma,20260708,6,False,0.0469032472696799,0.05905070517307382,0.05204834423502794,0.03236302795878041,0.04615044779981362,0.04685951022505761,0.0,0.0,0.0,0.13782110961383412,False,30,0.0021999146044407347,0.0022849731658678638,0.032370436291282306,0.0,
k3,fermat_quartic_k3,k3_rich_log_ma_seed20260707,rich,log_ma,20260707,12,True,0.008239911472715654,0.013833136051016576,0.014954184943359919,0.006859506100942147,0.01132489376694225,0.011327841913471784,0.0,0.0,0.0,0.14529302404465672,False,30,6.789614107819104e-05,6.77284962779319e-05,0.006860657643698786,0.0,artifacts/models/fermat_quartic_milestone5_best.json
k3,fermat_quartic_k3,k3_rich_log_ma_seed20260708,rich,log_ma,20260708,12,False,0.008239911472715654,0.013833136051016576,0.014954184943359919,0.006859506100942147,0.01132489376694225,0.011327841913471784,0.0,0.0,0.0,0.14529302404465672,False,30,6.789614107819104e-05,6.77284962779319e-05,0.006860657643698786,0.0,
k3,fermat_quartic_k3,k3_rich_hybrid_sigma_seed20260707,rich,hybrid_sigma,20260707,12,False,0.009263110138744698,0.01432216355632527,0.01573006759786603,0.006676783072497262,0.013022906629808428,0.01190111105531624,0.0,0.0,0.0,0.14483853588605555,False,30,8.580520944251481e-05,8.549107448212418e-05,0.006690524322952241,0.0,
k3,fermat_quartic_k3,k3_rich_hybrid_sigma_seed20260708,rich,hybrid_sigma,20260708,12,False,0.009263110138744698,0.01432216355632527,0.01573006759786603,0.006676783072497262,0.013022906629808428,0.01190111105531624,0.0,0.0,0.0,0.14483853588605555,False,30,8.580520944251481e-05,8.549107448212418e-05,0.006690524322952241,0.0,
k3,fermat_quartic_k3,k3_sqrt_s2_baseline_log_ma_seed20260707,sqrt_s2_baseline,log_ma,20260707,4,False,0.0472340699895632,0.05170362072270966,0.05036680880201088,0.040522611045408254,0.04071228189508964,0.04342872266914974,0.0,0.0,0.0,0.13867298536475997,True,22,0.002231057367778955,0.002240335316461278,0.04052297286468791,0.0,
k3,fermat_quartic_k3,k3_sqrt_s2_baseline_log_ma_seed20260708,sqrt_s2_baseline,log_ma,20260708,4,False,0.0472340699895632,0.05170362072270966,0.05036680880201088,0.040522611045408254,0.04071228189508964,0.04342872266914974,0.0,0.0,0.0,0.13867298536475997,True,22,0.002231057367778955,0.002240335316461278,0.04052297286468791,0.0,
k3,fermat_quartic_k3,k3_sqrt_s2_baseline_hybrid_sigma_seed20260707,sqrt_s2_baseline,hybrid_sigma,20260707,4,False,0.04829118628288809,0.05620106576937361,0.05277063876402146,0.03864532991230327,0.04291674460008619,0.04567343340856451,0.0,0.0,0.0,0.13809204882990064,True,25,0.0023320386726085984,0.002327520449344386,0.03864557770374011,0.0,
k3,fermat_quartic_k3,k3_sqrt_s2_baseline_hybrid_sigma_seed20260708,sqrt_s2_baseline,hybrid_sigma,20260708,4,False,0.04829118628288809,0.05620106576937361,0.05277063876402146,0.03864532991230327,0.04291674460008619,0.04567343340856451,0.0,0.0,0.0,0.13809204882990064,True,25,0.0023320386726085984,0.002327520449344386,0.03864557770374011,0.0,
quintic,fermat_quintic_threefold,quintic_compact_log_ma_seed20260707,compact,log_ma,20260707,6,False,0.060602964182862,0.19015853616403128,0.19386658912976032,0.048744659208005164,0.11137892552317429,0.11372889004375386,0.0,0.0,0.0,0.12888487030375803,True,27,0.0036727192677492543,0.0034607469718193466,0.048744857953434355,0.0,
quintic,fermat_quintic_threefold,quintic_compact_log_ma_seed20260708,compact,log_ma,20260708,6,False,0.06060296425512302,0.19015864045732067,0.19386669033429782,0.048744649208904894,0.11137899449422385,0.11372894268911156,0.0,0.0,0.0,0.12888486394009963,True,23,0.003672719276507719,0.003460746619937855,0.04874484795423158,0.0,
quintic,fermat_quintic_threefold,quintic_compact_hybrid_sigma_seed20260707,compact,hybrid_sigma,20260707,6,False,0.061184115356401864,0.20834605910665097,0.21429595810586483,0.04748988764349767,0.11578740929091462,0.12037603209791649,0.0,0.0,0.0,0.129018777555796,True,27,0.0037434959719454906,0.003478846998410912,0.04749007226366381,0.0,
quintic,fermat_quintic_threefold,quintic_compact_hybrid_sigma_seed20260708,compact,hybrid_sigma,20260708,6,False,0.06118411536402733,0.20834605103242726,0.21429594607451288,0.04748988806079616,0.11578740737810644,0.12037601996083686,0.0,0.0,0.0,0.129018778673301,True,28,0.0037434959728786053,0.0034788471189785355,0.04749007268103485,0.0,
quintic,fermat_quintic_threefold,quintic_rich_log_ma_seed20260707,rich,log_ma,20260707,12,False,0.06304215132944113,0.15581443839838696,0.09904894217765338,0.05418362395509991,0.1089628122573899,0.07644937677373899,0.0,0.0,0.0,0.13099551702392892,False,30,0.003974312844244157,0.004023487672920961,0.05418379606394434,0.0,
quintic,fermat_quintic_threefold,quintic_rich_log_ma_seed20260708,rich,log_ma,20260708,12,True,0.046954076433855144,0.1085964268778945,0.06366106870454061,0.040315217165995336,0.08052327671015468,0.049840509667919274,0.0,0.0,0.0,0.13124701454345686,False,30,0.002204685293756311,0.0021898749413724514,0.04031547495797561,0.0,artifacts/models/fermat_quintic_milestone5_best.json
quintic,fermat_quintic_threefold,quintic_rich_hybrid_sigma_seed20260707,rich,hybrid_sigma,20260707,12,False,0.04528920820800138,0.1116311494995016,0.07344519599237126,0.03885069586970864,0.07958452581388743,0.05438660616599117,0.0,0.0,0.0,0.1310746361818864,False,30,0.0020511123801076996,0.0020279821030940747,0.03885491259622154,0.0,
quintic,fermat_quintic_threefold,quintic_rich_hybrid_sigma_seed20260708,rich,hybrid_sigma,20260708,12,False,0.0457122029631391,0.1152243203538156,0.0775432141989159,0.038780686267408694,0.08169989982236234,0.05689694045495429,0.0,0.0,0.0,0.13096951036407972,False,30,0.0020896054997432225,0.002064243108894978,0.038781049167048255,0.0,
quintic,fermat_quintic_threefold,quintic_sqrt_s2_baseline_log_ma_seed20260707,sqrt_s2_baseline,log_ma,20260707,4,False,0.07642170728231866,0.14715856703558125,0.13211338999958255,0.06666918191655088,0.10432395035724742,0.08524828672976607,0.0,0.0,0.0,0.12842986354352404,True,23,0.005840277343944398,0.00581573923295348,0.06667098213832008,0.0,
quintic,fermat_quintic_threefold,quintic_sqrt_s2_baseline_log_ma_seed20260708,sqrt_s2_baseline,log_ma,20260708,4,False,0.07642170723396437,0.1471586944927496,0.13211351170250876,0.06666919887036371,0.10432397076931824,0.08524832134702713,0.0,0.0,0.0,0.1284298696644794,True,13,0.005840277336553762,0.005815739054773662,0.06667099793921138,0.0,
quintic,fermat_quintic_threefold,quintic_sqrt_s2_baseline_hybrid_sigma_seed20260707,sqrt_s2_baseline,hybrid_sigma,20260707,4,False,0.07673663248235876,0.15255029857732155,0.1372034081470231,0.06571574147869882,0.10769202296178394,0.08833221341301552,0.0,0.0,0.0,0.12809769071838545,True,19,0.005888510764732597,0.005881654621495622,0.0657176072813346,0.0,
quintic,fermat_quintic_threefold,quintic_sqrt_s2_baseline_hybrid_sigma_seed20260708,sqrt_s2_baseline,hybrid_sigma,20260708,4,False,0.07673663007651454,0.1525502928198985,0.1372034027237631,0.06571574488604003,0.10769201365092698,0.08833220639345246,0.0,0.0,0.0,0.12809769241859412,True,21,0.005888510395499836,0.005881654157717495,0.06571761081465155,0.0,
